booking_id,date_id,advertiser_id,platform_id,format_id,ad_medium,duration_days,gross_revenue_egp,discount_pct,net_revenue_egp,impressions_k,booking_status
BK00001,20210403,ADV0045,PF02,AF03,Print,1.0,25900.0,0.128,22600.0,,Confirmed
BK00002,20240925,ADV0061,PF01,AF01,Print,1.0,71900.0,0.055,67900.0,,Confirmed
BK00003,20230517,ADV0056,PF03,AF05,Print,1.0,1100.0,0.07,1000.0,,Confirmed
BK00004,20220809,ADV0093,PF04,AF12,Digital,30.0,163600.0,,160500.0,670.3,Confirmed
BK00005,20191212,ADV0053,PF01,AF01,Print,,51900.0,0.025,50600.0,,Confirmed
BK00006,20191212,ADV0003,PF02,AF02,Print,1.0,27700.0,,26700.0,,Confirmed
BK00007,20190503,ADV0037,PF01,AF05,Print,1.0,400.0,0.067,400.0,,Under Review
BK00008,20240317,ADV0064,PF04,AF06,Digital,30.0,0.0,0.068,0.0,291.7,Cancelled
BK00009,20220816,ADV0031,PF01,AF01,Print,1.0,44600.0,0.009,44200.0,,Confirmed
BK00010,20230403,ADV0062,PF04,AF10,Digital,1.0,32800.0,0.05,31200.0,378.3,Confirmed
BK00011,20190219,ADV0079,PF02,AF02,Print,1.0,31300.0,0.065,29300.0,,Confirmed
BK00012,20241105,ADV0020,PF05,AF06,Digital,14.0,0.0,0.131,0.0,355.6,Cancelled
BK00013,20231230,ADV0052,PF04,AF10,Digital ,1.0,35000.0,0.056,33000.0,508.9,Confirmed
BK00014,20200410,ADV0016,PF01,AF02,Print,1.0,24200.0,0.013,23900.0,,Confirmed
BK00015,20200206,ADV0094,PF01,AF03,Print,1.0,13400.0,0.06,12600.0,,Confirmed
BK00016,20200210,ADV0096,PF05,AF06,Digital,,80600.0,0.074,74600.0,106.6,CONFIRMED
BK00017,20201106,ADV0083,PF01,AF05,Print,1.0,600.0,,600.0,,Confirmed
BK00018,20220302,ADV0044,PF05,AF11,Digital,1.0,6900.0,0.062,6500.0,398.8,Confirmed
BK00019,20210808,ADV0057,PF01,AF02,Print,1.0,47300.0,0.066,44200.0,,Confirmed
BK00020,20201011,ADV0033,PF05,AF12,Digital,7.0,24900.0,0.01,24700.0,725.0,Confirmed
BK00021,20220913,ADV0087,PF02,AF01,Print,1.0,45400.0,0.053,43000.0,,Confirmed
BK00022,20191111,ADV0033,PF01,AF01,Print,1.0,58500.0,0.067,54600.0,,Confirmed
BK00023,20201012,ADV0079,PF04,AF11,Digital,1.0,4800.0,0.065,4500.0,330.5,CONFIRMED
BK00024,20210318,ADV0047,PF03,AF05,Print,1.0,0.0,0.134,0.0,,Cancelled
