transaction_id,date_id,customer_id,branch_id,channel_id,transaction_type,amount_egp,fee_egp,customer_segment,is_digital
TXN000001,20241204,CUS0090,BR14,CH02,Bill Payment,3751.48,15.47,Retail,False
TXN000002,20240514,CUS0122,,CH03,Account Opening Fee,215.14,0.81,Retail,True
TXN000003,20231207,CUS0112,,CH01,Account Opening Fee,1430.0,6.43,SME,False
TXN000004,20230318,CUS0186,,CH03,Account Opening Fee,430.69,0.84,Retail,True
TXN000005,20230416,CUS0051,,CH05,account opening fee,108.46,0.2,Retail,True
TXN000006,20230417,CUS0166,BR01,CH02,Bill Payment,-7800.46,11.5,SME,False
TXN000007,20231228,CUS0186,BR04,CH02,Transfer,63450.06,173.3,Retail,False
TXN000008,20230103,CUS0088,BR01,CH02,Loan Payment,25122.08,0.0,Retail,False
TXN000009,20240806,CUS0127,,CH05,Bill Payment,21289.43,48.73,SME,True
TXN000010,20240613,CUS0128,BR14,CH02,Withdrawal,12314.59,0.0,Retail,False
TXN000011,20240310,CUS0105,,CH03,Bill Payment,603.41,1.96,Retail,True
TXN000012,20230329,CUS0006,,CH04,Card Payment,18749.76,0.0,Premium,True
TXN000013,20240313,CUS0124,BR10,CH02,Account Opening Fee,176.28,0.68,Retail,False
TXN000014,20240622,CUS0088,BR09,CH01,Account Opening Fee,426.66,1.79,Retail,False
TXN000015,20241125,CUS0085,,CH05,Transfer,81948.33,132.96,Premium,True
TXN000016,20230921,CUS0163,,CH01,Loan Payment,54327.88,0.0,Premium,False
TXN000017,20240305,CUS0158,,CH03,Transfer,306525.64,415.78,SME,True
TXN000018,20230206,CUS0139,,CH04,Withdrawal,3513.54,0.0,Retail,True
TXN000019,20241203,CUS0188,BR06,CH02,Transfer,27589.66,110.24,Retail,False
TXN000020,20231116,CUS0192,,CH04,Bill Payment,2691.95,12.59,Retail,True
TXN000021,20241127,CUS0076,,CH03,Card Payment,6640.91,0.0,Retail,True
TXN000022,20230617,CUS0016,BR15,CH01,Bill Payment,8195.15,38.29,SME,False
TXN000023,20230523,CUS0105,BR04,CH02,Withdrawal,15637.19,,Retail,False
TXN000024,20240511,CUS0075,,CH03,Loan Payment,71364.83,0.0,SME,True
TXN000025,20240306,CUS0113,BR05,CH01,Transfer,61794.59,101.12,Retail,False
TXN000026,20241002,CUS0066,,CH03,Transfer,109736.16,166.03,Premium,True
TXN000027,20230722,CUS0107,BR08,CH02,Card Payment,24469.48,0.0,Corporate,False
TXN000028,20240123,CUS0181,BR07,CH02,Bill Payment,574.82,2.11,Retail,False
TXN000029,20241023,CUS0179,BR07,CH02,Loan Payment,50272.27,0.0,Premium,False
TXN000030,20240313,CUS0164,BR03,CH01,Deposit,23603.27,0.0,Retail,False
TXN000031,20240830,CUS0027,BR09,CH02,Bill Payment,20416.29,50.96,Corporate,False
TXN000032,20241124,CUS0099,,CH04,Withdrawal,5970.43,0.0,Retail,True
TXN000033,20240205,CUS0006,,CH03,Transfer,67543.5,264.3,Premium,True
TXN000034,20241201,CUS0169,,CH05,Card Payment,1892.99,0.0,Retail,True
TXN000035,20230608,CUS0007,,CH05,Account Opening Fee,393.83,1.67,Premium,True
TXN000036,20230723,CUS0150,BR02,CH01,Withdrawal,10842.14,0.0,Retail,False
TXN000037,20230902,CUS0030,,CH03,withdrawal,10872.88,0.0,Retail,True
TXN000038,20230215,CUS0104,,CH05,Card Payment,10853.21,0.0,Retail,True
