sale_id,date_id,book_id,customer_id,channel_id,quantity,unit_price_egp,discount_pct,discount_amount,total_revenue,total_cost,profit,order_status,processing_days
ORD00001,20231002,B012,C0041,CH02,2,75.49,0.0,0.0,150.98,48,102.98,Delivered,2.0
ORD00002,20240815,B002,C0060,CH01,1,50.84,0.0,0.0,50.84,20,30.84,Delivered,1.0
ORD00003,20231224,B001,C0015,CH01,2,45.52,0.0,0.0,91.04,36,55.04,Delivered,2.0
ORD00004,20240418,B011,C0077,CH03,186,80.07,,2978.6,11914.42,4650,7264.42,Delivered,12.0
ORD00005,20240827,B013,C0072,CH03,102,86.67,15.0,1326.05,7514.29,2754,4760.29,Delivered,
ORD00006,20240301,B005,C0108,CH05,284,53.02,,3764.42,11293.26,5964,5329.26,Delivered,3.0
ORD00007,20231002,B005,C0004,CH01,1,51.11,0.0,0.0,51.11,21,30.11,Pending,1.0
ORD00008,20230817,B005,C0015,CH02,3,50.81,0.0,0.0,152.43,63,89.43,Delivered,1.0
ORD00009,20230818,B017,C0016,CH02,2,181.43,10.0,36.29,326.57,144,182.57,Delivered,1.0
ORD00010,20230317,B014,C0096,CH04,34,71.39,25.0,606.82,1820.44,748,1072.44,Pending,10.0
ORD00011,20240205,B006,C0019,CH02,3,122.52,10.0,36.76,330.8,144,186.8,Delivered,1.0
ORD00012,20240915,B011,C0044,CH01,2,80.54,5.0,8.05,153.03,50,103.03,Delivered,1.0
ORD00013,20240308,B001,C0013, CH02,1,43.95,0.0,0.0,43.95,18,25.95,Pending,2.0
ORD00014,20230204,B017,C0067,CH01,128,181.33,10.0,2321.02,20889.22,9216,11673.22,Delivered,7.0
ORD00015,20240402,B012,C0053,CH01,1,73.61,5.0,3.68,69.93,24,45.93,Delivered,2.0
ORD00016,20230417,B003,C0045,CH01,3,56.04,5.0,8.41,159.71,66,93.71,DELIVERED,
ORD00017,20230531,B003,C0024,CH01,1,56.04,,5.6,50.44,22,28.44,Delivered,1.0
ORD00018,20231112,B006,C0064,CH03,142,117.52,20.0,3337.57,13350.27,6816,6534.27,Delivered,12.0
ORD00019,20231005,B017,C0074,CH03,147,182.1,10.0,2676.87,24091.83,10584,13507.83,Delivered,9.0
ORD00020,20241020,B015,C0079,CH01,138,87.78,15.0,1817.05,10296.59,4002,6294.59,Delivered,4.0
ORD00021,20230405,B019,C0044,CH02,2,56.51,10.0,11.3,101.72,44,57.72,Delivered,1.0
ORD00022,20230318,B009,C0056,CH02,3,152.24,10.0,45.67,411.05,180,231.05,Delivered,2.0
ORD00023,20240106,B002,C0033,CH02,2,51.26,10.0,10.25,92.27,40,52.27,DELIVERED,1.0
ORD00024,20230905,B007,C0056,CH02,1,134.51,10.0,13.45,121.06,54,67.06,Delivered,1.0
ORD00025,20230112,B020,C0024,CH02,2,51.25,0.0,0.0,102.5,40,62.5,Delivered,1.0
ORD00026,20230126,B001,C0025,CH01,3,45.76,0.0,0.0,137.28,54,83.28,Delivered,1.0
ORD00027,20241023,B015,C0027,CH01,3,89.07,5.0,13.36,253.85,87,166.85,Delivered,2.0
ORD00028,20240815,B011,C0014, CH02,2,78.36,5.0,7.84,148.88,50,98.88,Pending,2.0
ORD00029,20240910,B017,C0029,CH01,2,175.99,0.0,0.0,351.98,144,207.98,Delivered,2.0
ORD00030,20230210,B010,C0005,CH02,3,123.68,5.0,18.55,352.49,150,202.49,DELIVERED,1.0
ORD00031,20231205,B007,C0022,CH01,3,136.35,5.0,20.45,388.6,162,226.6,Pending,2.0
ORD00032,20240921,B018,C0021,CH01,3,163.2,5.0,24.48,465.12,192,273.12,Delivered,1.0
ORD00033,20240108,B002,C0102,CH05,227,49.98,35.0,3970.91,7374.55,4540,2834.55,Delivered,11.0
ORD00034,20230113,B009,C0081,CH03,27,148.87,10.0,401.95,3617.54,1620,1997.54,Delivered,6.0
ORD00035,20240630,B002,C0107,CH05,221,51.03,35.0,3947.17,7330.46,4420,2910.46,Delivered,6.0
ORD00036,20240516,B009,C0106,CH05,210,152.05,25.0,7982.63,23947.87,12600,11347.87,Delivered,4.0
ORD00037,20240125,B016,C0091, CH04,23,223.28,,1027.09,4108.35,2024,2084.35,Delivered,
ORD00038,20231218,B018,C0066,CH03,117,163.0,10.0,1907.1,17163.9,7488,9675.9,Delivered,8.0
ORD00039,20230102,B015,C0095,CH04,14,90.08,25.0,315.28,945.84,406,539.84,Delivered,8.0
ORD00040,20240927,B008,C0049,CH01,1,111.46,10.0,11.15,100.31,44,56.31,Delivered,1.0
ORD00041,20240403,B018,C0078,CH03,141,155.68,15.0,3292.63,0.0,9024,0.0,Returned,6.0
ORD00042,20230131,B014,C0034,CH01,1,68.95,,6.9,62.05,22,40.05,Delivered,1.0
ORD00043,20241013,B007,C0027,CH02,2,136.41,10.0,27.28,245.54,108,137.54,Delivered,2.0
ORD00044,20230707,B010,C0033,CH01,3,126.91,0.0,0.0,380.73,150,230.73,Delivered,1.0
ORD00045,20230809,B005,C0009,CH01,3,51.15,10.0,15.34,138.11,63,75.11,Delivered,1.0
ORD00046,20240605,B001,C0078,CH03,150,45.12,20.0,1353.6,5414.4,2700,2714.4,Delivered,
ORD00047,20230928,B019,C0001,CH01,3,54.36,5.0,8.15,154.93,66,88.93,Delivered,2.0
ORD00048,20240220,B005,C0099,CH04,34,51.91,20.0,352.99,1411.95,714,697.95,Delivered,12.0
ORD00049,20230206,B013,C0007,CH02,2,83.21,10.0,16.64,149.78,54,95.78,Delivered,2.0
ORD00050,20240312,B008,C0068,CH03,184,109.1,15.0,3011.16,17063.24,8096,8967.24,Delivered,12.0
ORD00051,20240501,B012,C0026,CH02,1,76.86,,3.84,73.02,24,49.02,Delivered,2.0
ORD00052,20230902,B017,C0001,CH01,2,183.19,0.0,0.0,366.38,144,222.38,Delivered,1.0
ORD00053,20230412,B013,C0109,CH05,252,84.42,25.0,5318.46,15955.38,6804,9151.38,DELIVERED,4.0
ORD00054,20231216,B010,C0086,CH01,24,125.99,15.0,453.56,2570.2,1200,1370.2,Delivered,12.0
ORD00055,20241222,B008,C0061,CH01,114,110.91,10.0,1264.37,11379.37,5016,6363.37,Delivered,10.0
ORD00056,20231004,B017,C0048,CH01,3,179.0,0.0,0.0,537.0,216,321.0,Delivered,2.0
ORD00057,20230316,B010,C0100,CH04,6,123.41,15.0,111.07,0.0,300,0.0,Returned,3.0
ORD00058,20240117,B017,C0010,CH02,2,182.11,0.0,0.0,364.22,144,220.22,Delivered,2.0
ORD00059,20240731,B003,C0046,CH01,2,54.32,5.0,5.43,103.21,44,59.21,Delivered,2.0
ORD00060,20240706,B001,C0021,CH02,1,44.83,5.0,2.24,0.0,18,0.0,Returned,2.0
ORD00061,20240731,B015,C0060,CH02,2,92.31,5.0,9.23,175.39,58,117.39,Delivered,
ORD00062,20241029,B014,C0048,CH02,1,69.32,10.0,6.93,62.39,22,40.39,Delivered,2.0
ORD00063,20230410,B005,C0096,CH04,41,53.21,15.0,327.24,1854.37,861,993.37,Delivered,5.0
ORD00064,20230926,B001,C0010,CH02,3,44.03,10.0,13.21,118.88,54,64.88,Delivered,1.0
ORD00065,20231218,B017,C0004,CH01,1,182.18,0.0,0.0,182.18,72,110.18,Pending,1.0
ORD00066,20230522,B001,C0090,CH04,16,45.84,15.0,110.02,623.42,288,335.42,Delivered,10.0
ORD00067,20240116,B012,C0049,CH02,2,76.72,0.0,0.0,153.44,48,105.44,Delivered,2.0
ORD00068,20230326,B019,C0091,CH04,46,54.36,15.0,375.08,2125.48,1012,1113.48,Delivered,7.0
ORD00069,20230516,B007,C0093,CH01,19,137.95,25.0,655.26,0.0,1026,0.0,Returned,11.0
ORD00070,20230726,B003,C0086,CH01,23,54.89,25.0,315.62,946.85,506,440.85,Delivered,13.0
ORD00071,20231121,B006,C0019,CH02,3,117.56,10.0,35.27,317.41,144,173.41,Delivered,2.0
ORD00072,20230124,B020,C0083,CH03,187,50.4,10.0,942.48,8482.32,3740,4742.32,Delivered,5.0
ORD00073,20240805,B020,C0092,CH04,41,48.5,15.0,298.27,1690.23,820,870.23,Delivered,
ORD00074,20240410,B009,C0008,CH02,1,153.94,0.0,0.0,153.94,60,93.94,Delivered,2.0
ORD00075,20240524,B018,C0096,CH01,20,156.91,20.0,627.64,2510.56,1280,1230.56,Delivered,13.0
ORD00076,20230424,B016,C0083,CH01,154,225.2,20.0,6936.16,27744.64,13552,14192.64,Delivered,12.0
ORD00077,20240929,B020,C0101,CH05,99,50.92,35.0,1764.38,3276.7,1980,1296.7,Delivered,8.0
ORD00078,20230703,B010,C0044,CH01,1,125.56,10.0,12.56,0.0,50,0.0,Returned,2.0
ORD00079,20241114,B002,C0059,CH01,2,48.92,0.0,0.0,97.84,40,57.84,Delivered,2.0
ORD00080,20240205,B002,C0100,CH04,36,50.14,,361.01,1444.03,720,724.03,Delivered,9.0
ORD00081,20241015,B003,C0059,CH02,1,53.82,10.0,5.38,48.44,22,26.44,Delivered,2.0
ORD00082,20240109,B004,C0028,CH01,2,49.0,0.0,0.0,98.0,38,60.0,Delivered,1.0
ORD00083,20230904,B016,C0063,CH03,51,215.11,10.0,1097.06,9873.55,4488,5385.55,Delivered,5.0
ORD00084,20240629,B002,C0104,CH05,496,50.3,30.0,7484.64,17464.16,9920,7544.16,Delivered,3.0
ORD00085,20240825,B010,C0045,CH01,3,121.72,5.0,18.26,346.9,150,196.9,Delivered,2.0
ORD00086,20240312,B020,C0040,CH01,1,51.22,10.0,5.12,46.1,20,26.1,Delivered,2.0
ORD00087,20241003,B016,C0011,CH01,1,219.74,10.0,21.97,197.77,88,109.77,Delivered,1.0
ORD00088,20240304,B001,C0024,CH01,2,46.23,5.0,4.62,87.84,36,51.84,Delivered,2.0
ORD00089,20240803,B003,C0086,CH04,41,54.87,15.0,337.45,1912.22,902,1010.22,Delivered,6.0
ORD00090,20240901,B010,C0045,CH01,1,124.66,5.0,6.23,0.0,50,0.0,Returned,2.0
ORD00091,20230922,B004,C0045,CH01,2,47.29,,0.0,94.58,38,56.58,Delivered,1.0
ORD00092,20230803,B001,C0056,CH02,1,45.65,10.0,4.57,41.08,18,23.08,Delivered,2.0
ORD00093,20241220,B007,C0039,CH01,3,134.61,10.0,40.38,363.45,162,201.45,Delivered,2.0
ORD00094,20230111,B015,C0044,CH02,2,87.74,0.0,0.0,175.48,58,117.48,Delivered,1.0
ORD00095,20231223,B017,C0069,CH03,110,184.49,10.0,2029.39,18264.51,7920,10344.51,Delivered,13.0
ORD00096,20230514,B008,C0008,CH01,2,112.97,5.0,11.3,214.64,88,126.64,Delivered,2.0
ORD00097,20241220,B012,C0042,CH02,1,75.36,5.0,3.77,71.59,24,47.59,Delivered,2.0
ORD00098,20240101,B001,C0094,CH01,26,46.31,20.0,240.81,963.25,468,495.25,Delivered,13.0
ORD00099,20230214,B007,C0071,CH01,81,136.67,20.0,2214.05,0.0,4374,0.0,Returned,3.0
ORD00100,20230808,B002,C0086,CH04,18,50.01,20.0,180.04,720.14,360,360.14,Delivered,13.0
ORD00101,20240414,B020,C0015,CH01,1,49.21,0.0,0.0,49.21,20,29.21,Delivered,1.0
ORD00102,20240606,B006,C0081,CH01,20,117.08,15.0,351.24,1990.36,960,1030.36,Delivered,9.0
ORD00103,20230406,B009,C0099, CH04,21,146.33,20.0,614.59,2458.34,1260,1198.34,Delivered,10.0
ORD00104,20230408,B013,C0106,CH05,489,83.4,25.0,10195.65,30586.95,13203,17383.95,Delivered,3.0
ORD00105,20240718,B001,C0001,CH02,2,45.51,10.0,9.1,81.92,36,45.92,Delivered,2.0
ORD00106,20240929,B012,C0045,CH02,1,74.88,0.0,0.0,74.88,24,50.88,Delivered,1.0
ORD00107,20240319,B012,C0043,CH02,1,74.26,5.0,3.71,70.55,24,46.55,Delivered,2.0
ORD00108,20230730,B010,C0092,CH01,9,128.39,15.0,173.33,982.18,450,532.18,Delivered,12.0
ORD00109,20240922,B006,C0073,CH03,94,119.09,20.0,2238.89,8955.57,4512,4443.57,Delivered,13.0
ORD00110,20240809,B005,C0070,CH03,76,52.32,20.0,795.26,3181.06,1596,1585.06,DELIVERED,10.0
ORD00111,20240925,B003,C0040,CH02,1,56.25,10.0,5.62,50.63,22,28.63,Delivered,1.0
ORD00112,20230119,B007,C0061,CH01,122,138.96,10.0,1695.31,15257.81,6588,8669.81,Delivered,13.0
ORD00113,20240318,B020,C0055,CH01,1,49.45,10.0,4.94,44.51,20,24.51,Delivered,1.0
ORD00114,20230921,B005,C0087,CH01,42,53.51,25.0,561.86,1685.56,882,803.56,Delivered,6.0
ORD00115,20240913,B020,C0027,CH02,1,49.9,0.0,0.0,49.9,20,29.9,Delivered,2.0
ORD00116,20240220,B003,C0055,CH01,1,55.08,0.0,0.0,55.08,22,33.08,Delivered,2.0
ORD00117,20230120,B008,C0061,CH01,66,107.53,10.0,709.7,6387.28,2904,3483.28,DELIVERED,10.0
ORD00118,20240831,B011,C0053,CH02,3,78.24,0.0,0.0,234.72,75,159.72,Delivered,2.0
ORD00119,20230606,B004,C0030,CH01,2,49.27,10.0,9.85,88.69,38,50.69,Delivered,1.0
ORD00120,20231128,B017,C0076,CH01,197,175.93,10.0,3465.82,31192.39,14184,17008.39,Delivered,4.0
ORD00121,20240521,B015,C0054,CH02,1,91.24,10.0,9.12,82.12,29,53.12,Delivered,2.0
ORD00122,20240806,B004,C0095,CH01,21,47.64,15.0,150.07,850.37,399,451.37,Delivered,11.0
ORD00123,20240413,B008,C0070,CH01,55,111.55,20.0,1227.05,4908.2,2420,2488.2,Pending,5.0
ORD00124,20240930,B019,C0007,CH02,2,55.13,10.0,11.03,99.23,44,55.23,Delivered,1.0
ORD00125,20230512,B010,C0025,CH02,1,126.44,0.0,0.0,126.44,50,76.44,Delivered,2.0
ORD00126,20240819,B014,C0052,CH02,3,71.14,10.0,21.34,192.08,66,126.08,Delivered,2.0
ORD00127,20240223,B010,C0088,CH04,24,124.74,25.0,748.44,2245.32,1200,1045.32,Delivered,12.0
ORD00128,20230827,B001,C0084,CH03,151,43.84,15.0,992.98,5626.86,2718,2908.86,Delivered,13.0
ORD00129,20230403,B005,C0076,CH03,72,50.77,20.0,731.09,2924.35,1512,1412.35,Delivered,4.0
ORD00130,20240221,B003,C0086,CH04,8,55.61,25.0,111.22,333.66,176,157.66,Delivered,9.0
ORD00131,20230110,B001,C0026,CH02,3,43.69,5.0,6.55,124.52,54,70.52,Delivered,2.0
ORD00132,20230120,B007,C0034,CH02,2,134.17,0.0,0.0,268.34,108,160.34,Delivered,2.0
ORD00133,20231126,B015,C0085,CH03,150,88.31,20.0,2649.3,10597.2,4350,6247.2,Delivered,13.0
ORD00134,20230108,B014,C0091,CH01,31,68.15,20.0,422.53,1690.12,682,1008.12,Delivered,13.0
ORD00135,20230621,B006,C0023,CH02,3,119.61,5.0,17.94,340.89,144,196.89,Delivered,2.0
ORD00136,20241007,B014,C0095,CH04,17,69.27,,294.4,883.19,374,509.19,Delivered,4.0
ORD00137,20230530,B005,C0100,CH04,20,53.12,20.0,212.48,849.92,420,429.92,Delivered,7.0
ORD00138,20230907,B012,C0031,CH01,2,73.57,5.0,7.36,139.78,48,91.78,Delivered,2.0
ORD00139,20240821,B019,C0043,CH01,3,54.67,10.0,16.4,0.0,66,0.0,Returned,2.0
ORD00140,20230808,B011,C0090,CH04,13,77.63,25.0,252.3,756.89,325,431.89,Delivered,9.0
ORD00141,20230822,B007,C0026,CH01,1,135.14,5.0,6.76,128.38,54,74.38,Delivered,2.0
ORD00142,20230521,B006,C0073,CH01,75,122.37,10.0,917.78,8259.97,3600,4659.97,Delivered,
ORD00143,20230904,B014,C0069,CH01,76,68.47,15.0,780.56,4423.16,1672,2751.16,Delivered,3.0
ORD00144,20230131,B016,C0013,CH01,2,220.43,5.0,22.04,418.82,176,242.82,Delivered,1.0
ORD00145,20240401,B014,C0002,CH02,1,70.45,0.0,0.0,70.45,22,48.45,Delivered,1.0
ORD00146,20240810,B001,C0081,CH03,14,44.88,20.0,125.66,502.66,252,250.66,Delivered,12.0
ORD00147,20240820,B020,C0097,CH04,19,48.53,15.0,138.31,783.76,380,403.76,Delivered,4.0
ORD00148,20230930,B004,C0043,CH01,2,47.38,5.0,4.74,90.02,38,52.02,Delivered,2.0
ORD00149,20241005,B003,C0081,CH01,115,55.14,20.0,1268.22,5072.88,2530,2542.88,Delivered,
ORD00150,20240729,B003,C0009,CH01,3,55.76,10.0,16.73,150.55,66,84.55,Delivered,2.0
ORD00151,20240417,B003,C0067,CH03,179,56.02,15.0,1504.14,8523.44,3938,4585.44,Delivered,7.0
ORD00152,20240629,B020,C0055,CH02,2,50.18,10.0,10.04,90.32,40,50.32,Delivered,2.0
ORD00153,20240303,B013,C0019,CH01,1,85.53,0.0,0.0,85.53,27,58.53,Delivered,1.0
ORD00154,20231203,B015,C0060,CH01,2,91.39,10.0,18.28,164.5,58,106.5,Delivered,2.0
ORD00155,20231001,B010,C0059,CH02,1,125.02,0.0,0.0,125.02,50,75.02,Delivered,1.0
ORD00156,20241227,B012,C0098,CH01,22,76.57,15.0,252.68,1431.86,528,903.86,Delivered,11.0
ORD00157,20231128,B007,C0011,CH01,1,134.32,5.0,6.72,127.6,54,73.6,Delivered,1.0
ORD00158,20240103,B006,C0027,CH01,2,117.59,,11.76,223.42,96,127.42,Delivered,1.0
ORD00159,20240905,B014,C0050,CH02,2,68.43,10.0,13.69,123.17,44,79.17,Delivered,2.0
ORD00160,20231111,B019,C0044,CH02,2,55.38,5.0,5.54,105.22,44,61.22,Delivered,1.0
ORD00161,20240408,B014,C0069,CH01,18,67.92,15.0,183.38,1039.18,396,643.18,Delivered,3.0
ORD00162,20230912,B016,C0093,CH01,44,217.69,15.0,1436.75,8141.61,3872,4269.61,Delivered,
ORD00163,20240128,B004,C0109,CH05,485,47.13,30.0,6857.42,16000.63,9215,6785.63,Delivered,6.0
ORD00164,20241222,B009,C0048,CH01,3,153.07,5.0,22.96,436.25,180,256.25,Delivered,2.0
ORD00165,20230829,B006,C0016,CH02,2,117.45,5.0,11.74,223.16,96,127.16,Delivered,1.0
ORD00166,20241008,B011,C0047,CH01,3,82.29,5.0,12.34,234.53,75,159.53,Delivered,1.0
ORD00167,20240118,B003,C0107,CH05,407,54.42,25.0,5537.24,16611.7,8954,7657.7,Delivered,8.0
ORD00168,20230109,B014,C0056,CH02,1,70.12,10.0,7.01,63.11,22,41.11,Delivered,2.0
ORD00169,20241214,B009,C0041,CH01,2,152.53,0.0,0.0,305.06,120,185.06,Delivered,1.0
ORD00170,20240808,B007,C0028,CH02,1,137.78,0.0,0.0,137.78,54,83.78,Delivered,1.0
ORD00171,20241111,B006,C0092, CH01,47,120.59,25.0,1416.93,4250.8,2256,1994.8,Delivered,
ORD00172,20231112,B014,C0106,CH05,443,70.83,30.0,9413.31,21964.38,9746,12218.38,DELIVERED,11.0
ORD00173,20240213,B005,C0020,CH01,2,52.86,5.0,5.29,100.43,42,58.43,Delivered,1.0
ORD00174,20240125,B003,C0089,CH04,41,55.54,15.0,341.57,1935.57,902,1033.57,Delivered,4.0
ORD00175,20240525,B014,C0104,CH05,465,69.54,30.0,9700.83,22635.27,10230,12405.27,PENDING,7.0
ORD00176,20230116,B016,C0032,CH01,1,214.79,5.0,10.74,204.05,88,116.05,Delivered,1.0
ORD00177,20241228,B005,C0055,CH01,1,53.4,10.0,5.34,48.06,21,27.06,Delivered,1.0
ORD00178,20231003,B020,C0062,CH01,72,49.73,20.0,716.11,2864.45,1440,1424.45,Delivered,
ORD00179,20231005,B002,C0021,CH01,3,49.25,5.0,7.39,140.36,60,80.36,Delivered,2.0
ORD00180,20230428,B011,C0106,CH05,487,81.73,30.0,11940.75,27861.76,12175,15686.76,Delivered,6.0
ORD00181,20231230,B003,C0083,CH01,54,55.13,10.0,297.7,0.0,1188,0.0,Returned,13.0
ORD00182,20231008,B008,C0001,CH02,3,111.55,0.0,0.0,334.65,132,202.65,Delivered,2.0
ORD00183,20230508,B011,C0002,CH01,3,79.85,10.0,23.96,215.59,75,140.59,Delivered,1.0
ORD00184,20241218,B015,C0005,CH01,3,90.32,5.0,13.55,257.41,87,170.41,Pending,1.0
ORD00185,20240904,B002,C0070,CH03,125,49.05,,919.69,5211.56,2500,2711.56,Delivered,3.0
ORD00186,20230502,B006,C0092,CH01,45,121.4,20.0,1092.6,4370.4,2160,2210.4,Delivered,3.0
ORD00187,20230927,B020,C0080,CH03,87,50.45,15.0,658.37,3730.78,1740,1990.78,Delivered,10.0
ORD00188,20240325,B014,C0102,CH05,302,71.06,25.0,5365.03,16095.09,6644,9451.09,Delivered,11.0
ORD00189,20230426,B002,C0099,CH04,13,50.91,15.0,99.27,562.56,260,302.56,Delivered,10.0
ORD00190,20240206,B002,C0053,CH02,3,50.04,5.0,7.51,142.61,60,82.61,Delivered,1.0
ORD00191,20240509,B008,C0092,CH04,18,111.45,15.0,300.92,1705.18,792,913.18,Delivered,7.0
ORD00192,20240322,B005,C0003,CH01,1,53.48,5.0,2.67,50.81,21,29.81,Delivered,1.0
ORD00193,20240308,B019,C0108,CH05,233,54.89,35.0,4476.28,8313.09,5126,3187.09,Delivered,7.0
ORD00194,20240211,B010,C0099,CH04,42,125.79,25.0,1320.8,0.0,2100,0.0,Returned,3.0
ORD00195,20230608,B016,C0066,CH03,17,216.08,10.0,367.34,3306.02,1496,1810.02,Delivered,11.0
ORD00196,20241112,B005,C0043,CH02,2,50.76,10.0,10.15,91.37,42,49.37,Delivered,1.0
ORD00197,20230221,B008,C0049,CH02,1,109.22,5.0,5.46,0.0,44,0.0,RETURNED,1.0
ORD00198,20230317,B009,C0053,CH02,2,153.11,5.0,15.31,290.91,120,170.91,Delivered,2.0
ORD00199,20231018,B001,C0101,CH05,93,45.4,30.0,1266.66,2955.54,1674,1281.54,Delivered,7.0
ORD00200,20230301,B001,C0011,CH01,1,45.63,0.0,0.0,45.63,18,27.63,Pending,1.0
ORD00201,20240711,B012,C0100,CH04,42,76.21,20.0,640.16,2560.66,1008,1552.66,Delivered,11.0
ORD00202,20241220,B003,C0022,CH02,2,56.14,10.0,11.23,0.0,44,0.0,Returned,1.0
ORD00203,20230403,B003,C0045,CH02,1,56.11,,5.61,50.5,22,28.5,Delivered,2.0
ORD00204,20240303,B009,C0018,CH02,2,151.55,0.0,0.0,303.1,120,183.1,Delivered,2.0
ORD00205,20230723,B005,C0107,CH05,428,52.34,35.0,7840.53,14560.99,8988,5572.99,Delivered,8.0
ORD00206,20231017,B005,C0014,CH02,1,50.66,10.0,5.07,45.59,21,24.59,Delivered,2.0
ORD00207,20240923,B020,C0008,CH01,2,50.47,10.0,10.09,90.85,40,50.85,Delivered,2.0
ORD00208,20240716,B005,C0068,CH03,158,52.56,15.0,1245.67,7058.81,3318,3740.81,Pending,3.0
ORD00209,20241024,B007,C0084,CH03,161,133.44,20.0,4296.77,17187.07,8694,8493.07,Delivered,11.0
ORD00210,20240603,B010,C0035,CH01,2,123.32,5.0,12.33,234.31,100,134.31,Delivered,1.0
ORD00211,20230527,B006,C0063,CH01,91,122.37,15.0,1670.35,9465.32,4368,5097.32,Delivered,
ORD00212,20230912,B003,C0050,CH01,2,55.92,10.0,11.18,0.0,44,0.0,Returned,1.0
ORD00213,20240101,B007,C0084,CH01,22,138.11,20.0,607.68,2430.74,1188,1242.74,Delivered,6.0
ORD00214,20230202,B020,C0073,CH03,141,50.56,20.0,1425.79,5703.17,2820,2883.17,Delivered,9.0
ORD00215,20240418,B005,C0005,CH02,1,51.34,0.0,0.0,51.34,21,30.34,Delivered,1.0
ORD00216,20230314,B020,C0053,CH02,2,49.09,0.0,0.0,0.0,40,0.0,Returned,2.0
ORD00217,20230702,B012,C0022,CH02,1,77.18,0.0,0.0,0.0,24,0.0,Returned,1.0
ORD00218,20241023,B005,C0001,CH02,3,51.35,10.0,15.4,138.65,63,75.65,Delivered,1.0
ORD00219,20241012,B008,C0040,CH01,1,109.81,5.0,5.49,104.32,44,60.32,DELIVERED,2.0
ORD00220,20240904,B002,C0056,CH01,3,51.25,0.0,0.0,153.75,60,93.75,Delivered,1.0
ORD00221,20230228,B005,C0009,CH02,3,51.51,5.0,7.73,0.0,63,0.0,Returned,1.0
