sale_id,date_id,route_id,train_id,channel_id,ticket_class,tickets_sold,ticket_price,discount_pct,discount_amount,total_revenue,payment_method,booking_status
S00001,20230929,R08,T05,CH03,Third,1,54.8,0.0,0.0,54.8,Credit Card,Completed
S00002,20241201,R01,T02,CH03,First,1,351.59,0.0,0.0,351.59,Cash,Completed
S00003,20240703,R04,T08,CH02,Third,3,33.61,5.0,5.04,95.79,Instapay,Completed
S00004,20240313,R01,T08,CH03,Second,2,-72.72,10.0,14.54,130.9,Credit Card,Completed
S00005,20230505,R01,T05,CH03,Third,3,55.87,5.0,8.38,159.23,Cash,Completed
S00006,20230505,R11,T03,CH04,Second,1,222.17,0.0,0.0,222.17,Cash,Completed
S00007,20230208,R02,T05,CH03,third,1,69.2,5.0,3.46,65.74,Credit Card,Completed
S00008,20240921,R03,T09,CH01,Third,1,45.55,,4.55,41.0,Debit Card,Completed
S00009,20240315,R04,T05,CH03,Second,3,116.02,0.0,0.0,348.06,Credit Card,Completed
S00010,20240617,R01,T03,CH05,First,1,282.85,5.0,14.14,268.71,Cash,Completed
S00011,20230113,R15,T08,CH03,Third,1,35.08,0.0,0.0,35.08,Credit Card,Completed
S00012,20241213,R07,T09,CH05,Third,2,34.79,20.0,13.92,55.66,Cash,Completed
S00013,20240827,R09,T10,CH01,Third,1,39.08,0.0,0.0,39.08,Instapay,Completed
S00014,20230620,R12,T05,CH03,third,2,81.44,0.0,0.0,162.88,Cash,Completed
S00015,20230528,R02,T09,CH03,Second,3,90.41,15.0,40.68,230.55,Cash,Completed
S00016,20230530,R14,T09,CH03,Second,2,65.8,0.0,0.0,131.6,Cash,Completed
S00017,20230812,R01,T09,CH06,Third,2,33.96,5.0,3.4,64.52,Credit Card,Completed
S00018,20240116,R09,T09,CH01,Third,1,38.63,0.0,0.0,38.63,Debit Card,Completed
S00019,20231115,R01,T04,CH01,Second,2,152.72,0.0,0.0,305.44,Debit Card,Completed
S00020,20230805,R01,T04,CH05,Second,2,160.41,5.0,16.04,304.78,, Completed 
S00021,20240324,R11,T06,CH03,Second,1,141.41,0.0,0.0,141.41,Cash,Completed
S00022,20230419,R01,T06,CH01,Third,1,53.06,0.0,0.0,53.06,Debit Card,Completed
S00023,20230805,R02,T03,CH06,Second,2,204.82,0.0,0.0,409.64,Credit Card,Completed
S00024,20230922,R14,T08,CH01,Second,1,67.45,0.0,0.0,67.45,Debit Card,Completed
S00025,20231204,R02,T09,CH04,Third,2,42.31,5.0,4.23,80.39,Cash,Completed
S00026,20240801,R02,T05,CH02,Second,2,129.9,0.0,0.0,259.8,Wallet,Completed
S00027,20230611,R06,T10,CH03,Second,1,70.3,0.0,0.0,70.3,Cash,Completed
S00028,20240110,R04,T10,CH03,Second,2,71.37,,0.0,142.74,Credit Card,Completed
S00029,20240307,R02,T08,CH03,Second,1,84.46,5.0,4.22,80.24,Cash,Completed
S00030,20230130,R01,T02,CH05,First,1,341.32,15.0,51.2,290.12,Cash,Completed
S00031,20240320,R03,T06,CH03,Third,2,75.14,20.0,30.06,120.22,Credit Card,Completed
S00032,20230518,R14,T08,CH03,Third,1,32.54,0.0,0.0,32.54,Cash,Completed
S00033,20230213,R10,T06,CH05,Third,2,64.54,0.0,0.0,129.08,Cash,Completed
S00034,20241129,R11,T03,CH03,First,2,385.23,0.0,0.0,770.46,Credit Card,Completed
S00035,20241210,R07,T08,CH04,Second,3,68.83,0.0,0.0,206.49,Cash,Completed
S00036,20240814,R04,T05,CH05,Second,2,115.53,10.0,23.11,207.95,Cash,Completed
S00037,20230812,R09,T08,CH01,Third,1,39.52,5.0,1.98,37.54,Credit Card,Completed
S00038,20230312,R15,T08,CH06,third,2,34.84,0.0,0.0,69.68,Credit Card,Completed
S00039,20240530,R02,T09,CH01,Third,1,42.73,,0.0,42.73,Debit Card, Completed 
S00040,20231122,R03,T10,CH02,Third,2,45.57,0.0,0.0,91.14,Instapay,Completed
S00041,20230402,R03,T07,CH01,Second,2,154.38,15.0,46.31,0.0,Credit Card,Cancelled
S00042,20231229,R07,T09,CH03,Second,1,66.93,10.0,6.69,0.0,Cash,Cancelled
S00043,20230122,R03,T07,CH04,Second,1,140.58,0.0,0.0,140.58,Cash,Completed
S00044,20241026,R03,T03,CH01,Second,2,223.25,5.0,22.32,424.18,Instapay,Completed
S00045,20230718,R03,T06,CH03,Second,2,150.19,0.0,0.0,300.38,Cash,Completed
S00046,20240510,R08,T08,CH04,Third,1,36.98,0.0,0.0,36.98,Cash,Completed
S00047,20230816,R05,T09,CH03,Third,2,33.88,20.0,13.55,54.21,Credit Card,Completed
S00048,20240113,R06,T10,CH02,Third,4,32.23,0.0,0.0,128.92,Debit Card,Completed
S00049,20240130,R01,T04,CH05,Second,2,162.43,0.0,0.0,324.86,Cash,Completed
S00050,20230531,R06,T08,CH05,Second,3,68.46,10.0,20.54,184.84,Cash,Completed
S00051,20241212,R02,T08,CH03,Third,1,41.3,10.0,4.13,37.17,Credit Card,Completed
S00052,20240727,R14,T09,CH03,Third,2,34.52,10.0,6.9,62.14,Credit Card,Completed
S00053,20241121,R04,T06,CH02,Third,2,54.31,0.0,0.0,108.62,Instapay,Completed
S00054,20241015,R02,T05,CH03,Second,1,136.45,0.0,0.0,136.45,Cash,Completed
S00055,20240312,R04,T08,CH05,Third,1,35.05,0.0,0.0,35.05,Cash,Completed
S00056,20241106,R12,T07,CH04,Second,1,150.89,10.0,15.09,0.0,Cash,Cancelled
S00057,20230305,R06,T10,CH03,Third,1,33.95,0.0,0.0,33.95,Credit Card,Completed
S00058,20230608,R09,T09,CH03,Third,3,39.36,20.0,23.62,94.46,Cash,Completed
S00059,20230129,R01,T08,CH02,Second,1,70.01,0.0,0.0,70.01,Wallet,Completed
S00060,20230823,R02,T09,CH01,Third,1,44.69,5.0,2.23,0.0,Credit Card,Cancelled
S00061,20231010,R08,T05,CH01,Third,1,58.77,0.0,0.0,58.77,Instapay,Completed
S00062,20230725,R01,T04,CH06,Second,1,156.72,5.0,7.84,148.88,Credit Card,Completed
S00063,20240825,R15,T08,CH02,Third,2,38.14,15.0,11.44,64.84,Debit Card,Completed
S00064,20230914,R01,T04,CH01,First,3,288.78,5.0,43.32,0.0,Credit Card,Cancelled
S00065,20230730,R03,T06,CH03,Third,2,70.47,0.0,0.0,140.94,Credit Card,Completed
S00066,20240128,R14,T10,CH03,Third,1,33.64,,0.0,33.64,Credit Card, Completed 
S00067,20230421,R05,T10,CH02,Third,1,33.24,,4.99,28.25,Wallet,Completed
S00068,20240811,R07,T10,CH02,Third,3,31.58,0.0,0.0,94.74,Instapay,Completed
S00069,20230221,R02,T07,CH01,Third,1,66.43,15.0,9.96,56.47,Debit Card,Completed
S00070,20241223,R07,T08,CH01,Third,1,33.63,10.0,3.36,30.27,Instapay,Completed
S00071,20240725,R02,T08,CH03,Third,2,43.13,0.0,0.0,86.26,Credit Card,Completed
