product_id,product_name,product_category,customer_type,premium_min_egp,premium_max_egp,expected_loss_ratio
PR01,Comprehensive Motor,Motor,Individual,1500,8000,0.62
PR02,Third-Party Motor,Motor,Individual,400,2000,0.55
PR03,Home Property,Property,Individual,2000,15000,0.45
PR04,Commercial Property,Property,Corporate,10000,100000,0.5
PR05,Marine Cargo,Marine,Corporate,5000,80000,0.48
PR06,Marine Hull,Marine,Corporate,20000,200000,0.52
PR07,Individual Travel,travel,Individual,200,1500,0.35
PR08,Corporate Travel,travel,Corporate,3000,20000,0.38
PR09,Engineering & Machinery,Engineering,Corporate,15000,150000,0.55
PR10,Corporate Risk Package,Corporate Risk,Corporate,50000,500000,0.5
