policy_id,date_id,customer_id,product_id,branch_id,channel_id,premium_egp,underwriting_cost,admin_cost,total_cost,expected_claim_reserve,term_months,policy_status,customer_type,is_returning_customer
POL00001,20230911,CUS0027,PR07,BR04,CH02,992.12,158.56,133.59,292.15,303.04,24.0,Active,Individual,True
POL00002,20231010,CUS0025,PR02,BR02,CH04,1509.18,262.73,175.0,437.73,1016.29,6.0,Active,Individual,True
POL00003,20241125,CUS0112,PR01,BR03,CH04,6873.68,817.0,947.82,1764.82,3037.28,24.0,Active,Individual,True
POL00004,20240209,CUS0124,PR01,BR12,CH04,2898.92,361.29,,617.28,1731.78,6.0,Expired,Individual,False
POL00005,20240520,CUS0082,PR07,BR11,CH01,1022.46,137.65,141.33,278.98,387.46,,Expired,Individual,True
POL00006,20230421,CUS0111,PR02,BR09,CH04,1761.09,221.51,,437.82,692.78,24.0,Active,Individual,True
POL00007,20231017,CUS0137,PR06,BR01,CH02,40123.87,5821.4,4960.01,10781.41,20085.28,6.0,Active,Corporate,True
POL00008,20231112,CUS0035,PR01,BR09,CH02,2739.48,429.38,375.76,805.14,2004.03,12.0,Expired,Individual,True
POL00009,20230608,CUS0069,PR01,BR03,CH01,6793.88,900.88,617.51,1518.39,5230.82,24.0,Expired,Individual,False
POL00010,20240614,CUS0152,PR09,BR04,CH02,108771.66,16201.64,9380.21,25581.85,47884.08,12.0,Expired,Corporate,False
POL00011,20240724,CUS0106,PR07,BR01,CH04,1443.18,175.75,191.11,366.86,515.33,12.0,Cancelled,Individual,False
POL00012,20230221,CUS0044,PR01,BR05,CH01,7473.03,792.43,827.48,1619.91,4143.3,12.0,Active,Individual,False
POL00013,20240229,CUS0175,PR06,BR04,CH02,185243.57,24030.29,24929.32,48959.61,94307.66,12.0,Active,Corporate,True
POL00014,20230123,CUS0124,PR03,BR04,CH01,6258.45,934.27,570.37,1504.64,2895.69,12.0,Active,Individual,False
POL00015,20231031,CUS0175,PR06,BR08,CH03,43084.02,7410.57,4422.52,11833.09,17107.78,24.0,Expired,Corporate,True
POL00016,20230615,CUS0053,PR02,BR11,CH04,1466.26,242.71,202.87,445.58,790.35,,ACTIVE,Individual,False
POL00017,20240712,CUS0063,PR03,BR03,CH03,8429.2,1392.87,,2287.92,3318.47,6.0,Active,Individual,True
POL00018,20230129,CUS0043,PR02,BR05,CH03,1749.11,221.82,229.1,450.92,742.87,12.0,Active,Individual,False
POL00019,20230607,CUS0004,PR03,BR10,CH03,11726.43,1441.75,1605.02,3046.77,5395.57,12.0,Active,Individual,True
POL00020,20240524,CUS0121,PR02,BR03,CH03,1224.38,175.24,159.8,335.04,620.68,24.0,Active,Individual,False
POL00021,20230828,CUS0157,PR06,BR04,CH03,29078.09,3663.57,2834.16,6497.73,12155.89,24.0,Active,Corporate,True
POL00022,20230314,CUS0014,PR01,BR12,CH03,5878.75,921.92,780.98,1702.9,3463.76,12.0,Expired,Individual,True
POL00023,20240403,CUS0027,PR03,BR06,CH02,4949.76,535.49,583.98,1119.47,2718.57,12.0,ACTIVE,Individual,True
POL00024,20230407,CUS0037,PR07,BR02,CH03,599.01,96.4,67.66,164.06,257.62,6.0,Active,Individual,True
POL00025,20240112,CUS0064,PR01,BR05,CH05,2465.53,360.51,259.91,620.42,1847.56,6.0,Expired,Individual,True
POL00026,20240912,CUS0012,PR02,BR07,CH02,1861.02,320.7,252.54,573.24,969.77,24.0,Active,Individual,True
