sale_id,date_id,product_id,customer_id,channel_id,quantity,unit_price_egp,discount_pct,total_revenue_egp,order_status,market
SL00001,20231016,PR04,CUS0069,CH04,15712.0,42.6,0.158,563576.9,Completed,Export
SL00002,20241129,PR05,CUS0015,CH06,5852.0,66.4,0.115,0.0,Returned,Domestic
SL00003,20240624,PR07,CUS0112,CH04,2659.0,94.6,0.058,236952.0,Completed,Domestic
SL00004,20240310,PR04,CUS0031,CH06,17059.0,47.7,,746989.7,Completed,Export
SL00005,20230421,PR07,CUS0034,CH03,,76.8,0.092,354111.3,Completed,Export
SL00006,20230421,PR08,CUS0045,CH02,334.0,94.2,,30518.9,Pending,Domestic
SL00007,20230209,PR02,CUS0076,CH06,546.0,151.7,0.06,77858.5,Completed,Domestic
SL00008,20241011,PR02,CUS0037,CH03,528.0,166.8,0.002,87894.3,Completed,Domestic
SL00009,20240312,PR03,CUS0040,CH01,3036.0,94.8,0.094,260758.4,Pending,Domestic
SL00010,20240601,PR03,CUS0095,CH03,4478.0,99.4,0.151,377901.1,Completed,Export
SL00011,20230114,PR05,CUS0094,CH03,819.0,60.6,0.057,46802.4,Completed,Domestic
SL00012,20241211,PR14,CUS0063,CH01,3556.0,83.9,0.17,247629.2,Completed,Export
SL00013,20240920,PR03,CUS0087,CH02,5283.0,103.0,0.006,540884.1,Completed,Domestic 
SL00014,20230606,PR04,CUS0113,CH02,9606.0,40.0,0.019,376939.4,Completed,Domestic
SL00015,20230511,PR01,CUS0108,CH02,4736.0,113.8,0.064,0.0,Returned,Domestic
SL00016,20230512,PR16,CUS0099,CH01,,108.2,0.112,613865.3,COMPLETED,Export
SL00017,20230903,PR04,CUS0063,CH05,9316.0,44.5,,349061.2,Pending,Export
SL00018,20240118,PR13,CUS0068,CH02,558.0,223.1,0.043,119136.7,Completed,Domestic
SL00019,20231118,PR12,CUS0066,CH03,2961.0,152.4,0.093,409289.6,Completed,Export
SL00020,20230823,PR16,CUS0104,CH03,1955.0,121.4,0.007,235675.6,Completed,Domestic
SL00021,20240319,PR12,CUS0108,CH02,1674.0,193.2,0.058,304658.6,Completed,Domestic
SL00022,20230409,PR14,CUS0016,CH01,2725.0,71.7,0.057,184245.7,Completed,Domestic
SL00023,20230824,PR01,CUS0011,CH03,1228.0,108.1,0.059,124914.7,COMPLETED,Domestic
SL00024,20231011,PR08,CUS0044,CH03,9282.0,92.8,0.092,782123.6,Completed,Export
SL00025,20231203,PR09,CUS0048,CH01,179.0,67.3,0.057,11360.0,Completed,Domestic
SL00026,20240817,PR14,CUS0018,CH05,281.0,85.4,0.038,23085.5,Completed,Domestic
SL00027,20230525,PR06,CUS0002,CH01,3586.0,36.1,0.054,122464.1,Completed,Domestic 
SL00028,20240110,PR11,CUS0028,CH03,1622.0,437.4,0.097,640644.9,Completed,Export
SL00029,20240306,PR11,CUS0044,CH03,3696.0,459.3,0.155,1434449.0,Completed,Export
SL00030,20230201,PR01,CUS0118,CH01,1067.0,108.7,0.007,115171.0,PENDING,Domestic
SL00031,20240316,PR14,CUS0089,CH03,440.0,85.5,0.021,36830.0,Completed,Domestic
SL00032,20230502,PR08,CUS0109,CH01,261.0,98.5,0.062,24114.6,Completed,Domestic
SL00033,20230214,PR04,CUS0047,CH05,2522.0,39.9,0.025,98112.1,Completed,Domestic
SL00034,20241128,PR13,CUS0048,CH05,275.0,235.1,0.063,60579.4,Completed,Domestic
SL00035,20241208,PR03,CUS0064,CH01,388.0,104.5,0.027,39451.3,Completed,Domestic
SL00036,20240905,PR13,CUS0117,CH02,197.0,213.4,0.062,39433.3,Completed,Domestic
SL00037,20230903,PR02,CUS0066,CH05,,147.8,,1437782.6,Pending,Export 
SL00038,20230310,PR16,CUS0015,CH04,1506.0,118.6,0.051,169502.4,Pending,Domestic
SL00039,20240512,PR01,CUS0063,CH04,9648.0,133.4,0.109,1146755.5,Completed,Export
SL00040,20231123,PR14,CUS0112,CH04,1477.0,76.2,0.037,108383.1,Pending,Domestic
SL00041,20230327,PR12,CUS0066,CH01,3061.0,169.6,0.114,459963.0,Completed,Export
SL00042,20231229,PR01,CUS0022,CH05,722.0,110.3,,78203.1,Pending,Domestic
SL00043,20230124,PR03,CUS0090,CH04,206.0,80.7,0.049,15809.6,Completed,Domestic
SL00044,20241104,PR04,CUS0013,CH05,16792.0,47.7,0.152,679229.7,Completed,Export
SL00045,20230723,PR01,CUS0075,CH01,8923.0,115.9,0.111,919382.2,Completed,Export
SL00046,20240425,PR13,CUS0099,CH06,,222.2,0.154,825425.4,Completed,Export
SL00047,20230908,PR09,CUS0049,CH02,2762.0,64.7,0.011,0.0,Returned,Domestic
SL00048,20240114,PR07,CUS0068,CH05,2012.0,94.6,0.016,187289.8,Completed,Domestic
