sale_id,date_id,project_id,unit_type_id,customer_id,channel_id,area_sqm,price_per_sqm,contract_value,down_payment,remaining_balance,down_payment_pct,payment_plan,commission_pct,commission_amount,contract_status,is_investor_buyer
SL00001,20231014,PJ02,UT06,CUS0035,CH05,329.2,30743,10121000.0,1012000.0,9109000.0,10.0,7-Year Installment,0.018,182200.0,Signed,False
SL00002,20241202,PJ09,UT08,CUS0044,CH01,223.3,73817,16483000.0,4121000.0,12362000.0,25.0,Cash,0.03,494500.0,Signed,True
SL00003,20240629,PJ07,UT02,CUS0038,CH01,86.8,54591,4738000.0,474000.0,4264000.0,10.0,10-Year Installment,0.025,118400.0,Signed,False
SL00004,20240413,PJ07,UT01,CUS0125,CH03,35.4,56173,1989000.0,398000.0,1591000.0,20.0,7-Year Installment,,0.0,Signed,False
SL00005,20230509,PJ06,UT03,CUS0056,CH01,125.4,31741,0.0,0.0,0.0,,10-Year Installment,0.029,0.0,Cancelled,False
SL00006,20230509,PJ06,UT06,CUS0095,CH03,306.3,28412,0.0,0.0,0.0,15.0,7-Year Installment,,0.0,Cancelled,True
SL00007,20230220,PJ03,UT08,CUS0104,CH03,209.5,47613,9975000.0,2494000.0,7481000.0,25.0,7-Year Installment,0.0,0.0,Signed,False
SL00008,20240828,PJ08,UT01,CUS0049,CH01,47.2,51142,2414000.0,483000.0,1931000.0,20.0,10-Year Installment,0.022,53100.0,Signed,False
SL00009,20240326,PJ05,UT05,CUS0093,CH04,284.5,56740,16143000.0,3229000.0,12914000.0,20.0,5-Year Installment,0.0,0.0,Signed,False
SL00010,20240619,PJ02,UT06,CUS0066,CH02,274.8,36141,9932000.0,1986000.0,0.0,20.0,5-Year Installment,0.0,0.0,Under Review,False
SL00011,20230118,PJ05,UT08,CUS0064,CH03,254.2,51499,13091000.0,1964000.0,11127000.0,15.0,5-Year Installment,0.0,0.0,Signed,True
SL00012,20241129,PJ07,UT06,CUS0123,CH01,303.0,39878,12083000.0,3021000.0,9062000.0,25.0,7-Year Installment,0.038,459200.0,Signed,True
