sale_id,date_id,project_id,unit_type_id,customer_id,channel_id,area_sqm,price_per_sqm,contract_value,down_payment,remaining_balance,down_payment_pct,payment_plan,is_off_plan,commission_pct,commission_amount,contract_status
SL00001,20231014,PJ10,UT08,CUS0145,CH01,72.4,78395,5676000.0,1419000.0,4257000.0,25.0,5-Year Installment,False,0.0,0.0,Signed
SL00002,20241202,PJ03,UT03,CUS0141,CH02,130.8,35964,0.0,0.0,0.0,25.0,Off-Plan 10-Year,True,0.039,0.0,Cancelled
SL00003,20240702,PJ02,UT05,CUS0061,CH04,292.5,40396,11816000.0,2363000.0,9453000.0,20.0,Off-Plan 8-Year,True,0.0,0.0,Signed
SL00004,20240320,PJ10,UT08,CUS0149,CH01,55.6,93222,5183000.0,1037000.0,4146000.0,20.0,5-Year Installment,False,,0.0,Signed
SL00005,20230503,PJ01,UT03,CUS0050,CH03,116.2,27786,3229000.0,969000.0,2260000.0,,Off-Plan 8-Year,True,0.0,0.0,Signed
SL00006,20230503,PJ06,UT02,CUS0056,CH01,73.6,36179,2663000.0,2663000.0,0.0,100.0,Cash,False,,0.0,Signed
SL00007,20230217,PJ01,UT05,CUS0085,CH03,313.9,36056,11318000.0,1132000.0,10186000.0,10.0,Off-Plan 10-Year,True,0.0,0.0,Signed
SL00008,20241007,PJ02,UT05,CUS0150,CH04,314.8,40306,12688000.0,1903000.0,0.0,15.0,Off-Plan 8-Year,True,0.0,0.0,Under Review
SL00009,20240322,PJ02,UT07,CUS0095,CH01,410.2,23864,9789000.0,1958000.0,7831000.0,20.0,5-Year Installment,False,0.0,0.0,Signed
SL00010,20240612,PJ03,UT04,CUS0005,CH04,178.9,34141,6108000.0,6108000.0,0.0,100.0,Cash,False,0.0,0.0,Signed
SL00011,20230117,PJ03,UT02,CUS0142,CH01,88.7,32000,2838000.0,426000.0,2412000.0,15.0,5-Year Installment,False,0.0,0.0,Signed
SL00012,20241214,PJ06,UT04,CUS0035,CH04,226.7,39564,8969000.0,2691000.0,6278000.0,30.0,Off-Plan 8-Year,True,0.0,0.0,Signed
SL00013,20240912,PJ04,UT07,CUS0033,CH03,544.0,30428,16553000.0,3311000.0,13242000.0,20.0,Off-Plan 10-Year ,True,0.0,0.0,Signed
SL00014,20230616,PJ07,UT01,CUS0074,CH02,43.9,43693,1918000.0,192000.0,1726000.0,10.0,Off-Plan 10-Year,True,0.034,65200.0,Signed
SL00015,20230523,PJ09,UT08,CUS0122,CH01,72.5,69042,5006000.0,1502000.0,3504000.0,30.0,Off-Plan 8-Year,True,0.0,0.0,Signed
SL00016,20230524,PJ09,UT08,CUS0031,CH02,88.0,70360,6192000.0,6192000.0,0.0,,Cash,False,0.035,216700.0,signed
SL00017,20230823,PJ10,UT08,CUS0068,CH01,69.0,79705,5500000.0,1375000.0,4125000.0,25.0,Off-Plan 8-Year,True,,0.0,Signed
SL00018,20240121,PJ03,UT04,CUS0014,CH05,205.1,33327,6835000.0,6835000.0,0.0,100.0,Cash,False,0.014,95700.0,Signed
SL00019,20231121,PJ04,UT05,CUS0174,CH04,266.9,42404,11318000.0,2830000.0,8488000.0,25.0,Off-Plan 10-Year,True,0.0,0.0,Signed
SL00020,20230814,PJ09,UT08,CUS0084,CH01,59.7,72835,4348000.0,435000.0,3913000.0,10.0,Off-Plan 10-Year,True,0.0,0.0,Signed
SL00021,20240330,PJ01,UT04,CUS0096,CH02,182.7,32602,5956000.0,596000.0,0.0,10.0,5-Year Installment,False,0.023,137000.0,Under Review
SL00022,20230420,PJ05,UT03,CUS0163,CH05,132.8,29971,3980000.0,995000.0,0.0,25.0,Off-Plan 8-Year,True,0.012,47800.0,Under Review
SL00023,20230814,PJ07,UT01,CUS0142,CH01,60.5,43402,2626000.0,2626000.0,0.0,100.0,Cash,False,0.0,0.0,signed
SL00024,20231008,PJ10,UT08,CUS0085,CH01,67.3,78914,5311000.0,1062000.0,4249000.0,20.0,Off-Plan 8-Year,True,0.0,0.0,Signed
SL00025,20231206,PJ01,UT06,CUS0006,CH04,284.9,23695,6751000.0,1013000.0,5738000.0,15.0,Off-Plan 10-Year,True,0.0,0.0,Signed
SL00026,20240809,PJ06,UT05,CUS0152,CH05,260.3,51778,0.0,0.0,0.0,10.0,Off-Plan 8-Year,True,0.006,0.0,Cancelled
SL00027,20230606,PJ04,UT05,CUS0056,CH01,334.7,40371,13512000.0,1351000.0,12161000.0,10.0,Off-Plan 10-Year,True,0.0,0.0,Signed
SL00028,20240112,PJ06,UT02,CUS0147,CH01,86.1,43017,3704000.0,1111000.0,2593000.0,30.0,Off-Plan 8-Year ,True,0.0,0.0,Signed
SL00029,20240316,PJ06,UT05,CUS0014,CH02,297.0,51744,15368000.0,1537000.0,13831000.0,10.0,Off-Plan 10-Year,True,0.027,414900.0,Signed
SL00030,20230207,PJ04,UT04,CUS0010,CH05,196.0,30467,5972000.0,1493000.0,4479000.0,25.0,Off-Plan 10-Year,True,0.007,41800.0,signed
SL00031,20240327,PJ06,UT05,CUS0172,CH05,321.3,51686,16607000.0,3321000.0,13286000.0,20.0,Off-Plan 10-Year,True,0.013,215900.0,Signed
SL00032,20230514,PJ03,UT05,CUS0076,CH02,240.8,36441,8775000.0,2194000.0,0.0,25.0,Off-Plan 10-Year,True,0.031,272000.0,Under Review
SL00033,20230223,PJ01,UT02,CUS0149,CH01,96.0,30205,2900000.0,580000.0,2320000.0,20.0,Off-Plan 10-Year,True,0.0,0.0,Signed
SL00034,20241201,PJ05,UT05,CUS0138,CH01,284.7,48510,0.0,0.0,0.0,100.0,Cash,False,0.0,0.0,Cancelled
SL00035,20241211,PJ04,UT07,CUS0100,CH01,361.6,29729,10750000.0,3225000.0,7525000.0,30.0,Off-Plan 10-Year,True,0.0,0.0,Signed
SL00036,20240825,PJ08,UT08,CUS0066,CH01,83.1,99529,8271000.0,2068000.0,6203000.0,25.0,Off-Plan 10-Year,True,0.0,0.0,Signed
SL00037,20230823,PJ03,UT05,CUS0096,CH01,362.7,39072,14171000.0,14171000.0,0.0,,Cash ,False,,0.0,Signed
SL00038,20230320,PJ06,UT03,CUS0075,CH02,136.3,32639,4449000.0,667000.0,3782000.0,15.0,Off-Plan 10-Year,True,0.033,146800.0,Signed
SL00039,20240524,PJ01,UT05,CUS0148,CH02,358.3,43422,15558000.0,1556000.0,14002000.0,10.0,Off-Plan 10-Year,True,0.034,529000.0,Signed
SL00040,20231126,PJ01,UT06,CUS0074,CH01,326.7,23686,7738000.0,2321000.0,5417000.0,30.0,Off-Plan 8-Year,True,0.0,0.0,Signed
SL00041,20230407,PJ06,UT04,CUS0094,CH01,171.1,33136,5670000.0,5670000.0,0.0,100.0,Cash,False,0.0,0.0,Signed
SL00042,20231229,PJ02,UT02,CUS0106,CH01,78.8,29162,2298000.0,689000.0,1609000.0,30.0,Off-Plan 10-Year,True,,0.0,Signed
SL00043,20230128,PJ07,UT01,CUS0028,CH03,50.9,42104,2143000.0,643000.0,1500000.0,30.0,Off-Plan 8-Year,True,0.0,0.0,Signed
SL00044,20241106,PJ06,UT05,CUS0167,CH03,302.5,49806,15066000.0,4520000.0,10546000.0,30.0,Off-Plan 10-Year,True,0.0,0.0,Signed
SL00045,20230722,PJ09,UT08,CUS0142,CH03,68.3,74802,5109000.0,511000.0,4598000.0,10.0,Off-Plan 8-Year,True,0.0,0.0,Signed
SL00046,20240508,PJ02,UT02,CUS0047,CH02,74.2,31889,2366000.0,355000.0,2011000.0,,5-Year Installment,False,0.034,80400.0,Signed
